algorithm,dataset,window,batch,num-tuples,time,throughput
FK-SORT-L3,synth-1,65536,128,400000,74463481,0.0054
FK-SORT-L3,synth-1,65536,256,400000,36825730,0.0109
FK-SORT-L3,synth-1,65536,512,400000,18644193,0.0215
FK-SORT-L3,synth-1,65536,1024,400000,9340698,0.0428
FK-SORT-L3,synth-1,65536,2048,400000,4732561,0.0845
FK-SORT-L3,synth-1,65536,4096,400000,2367201,0.169
FK-SORT-L3,synth-1,65536,8192,400000,1260750,0.3173
FK-SORT-L3,synth-1,65536,16384,400000,694599,0.5759
FK-SORT-L3,synth-1,65536,32768,400000,412525,0.9696
FK-SORT-L3,synth-1,65536,65536,400000,340682,1.1741
FK-EPHI-L2,synth-1,65536,128,400000,259889130,0.0015
FK-EPHI-L2,synth-1,65536,256,400000,118902122,0.0034
FK-EPHI-L2,synth-1,65536,512,400000,65333083,0.0061
FK-EPHI-L2,synth-1,65536,1024,400000,30137118,0.0133
FK-EPHI-L2,synth-1,65536,2048,400000,16744979,0.0239
FK-EPHI-L2,synth-1,65536,4096,400000,7874633,0.0508
FK-EPHI-L2,synth-1,65536,8192,400000,4704888,0.085
FK-EPHI-L2,synth-1,65536,16384,400000,2533981,0.1579
FK-EPHI-L2,synth-1,65536,32768,400000,1667250,0.2399
FK-EPHI-L2,synth-1,65536,65536,400000,1242649,0.3219
FK-SORT-L4,synth-1,65536,128,400000,67334762,0.0059
FK-SORT-L4,synth-1,65536,256,400000,33736059,0.0119
FK-SORT-L4,synth-1,65536,512,400000,16875593,0.0237
FK-SORT-L4,synth-1,65536,1024,400000,8516148,0.047
FK-SORT-L4,synth-1,65536,2048,400000,4284757,0.0934
FK-SORT-L4,synth-1,65536,4096,400000,2203662,0.1815
FK-SORT-L4,synth-1,65536,8192,400000,1204375,0.3321
FK-SORT-L4,synth-1,65536,16384,400000,681791,0.5867
FK-SORT-L4,synth-1,65536,32768,400000,408437,0.9793
FK-SORT-L4,synth-1,65536,65536,400000,314495,1.2719
FK-MERG-L4,synth-1,65536,128,400000,20095107,0.0134
FK-MERG-L4,synth-1,65536,256,400000,10149434,0.0265
FK-MERG-L4,synth-1,65536,512,400000,5053870,0.0532
FK-MERG-L4,synth-1,65536,1024,400000,2581730,0.1042
FK-MERG-L4,synth-1,65536,2048,400000,1310405,0.2052
FK-MERG-L4,synth-1,65536,4096,400000,690186,0.3896
FK-MERG-L4,synth-1,65536,8192,400000,383699,0.7009
FK-MERG-L4,synth-1,65536,16384,400000,238578,1.1272
FK-MERG-L4,synth-1,65536,32768,400000,169289,1.5886
FK-MERG-L4,synth-1,65536,65536,400000,137830,1.9512
FK-MERG-L3,synth-1,65536,128,400000,20181608,0.0133
FK-MERG-L3,synth-1,65536,256,400000,10091164,0.0266
FK-MERG-L3,synth-1,65536,512,400000,5133267,0.0524
FK-MERG-L3,synth-1,65536,1024,400000,2586170,0.104
FK-MERG-L3,synth-1,65536,2048,400000,1344377,0.2
FK-MERG-L3,synth-1,65536,4096,400000,700731,0.3838
FK-MERG-L3,synth-1,65536,8192,400000,385651,0.6973
FK-MERG-L3,synth-1,65536,16384,400000,237569,1.132
FK-MERG-L3,synth-1,65536,32768,400000,166217,1.6179
FK-MERG-L3,synth-1,65536,65536,400000,138005,1.9487

NFK-JOIN-L3,synth-1,65536,128,400000,140721733,0.0019
NFK-JOIN-L3,synth-1,65536,256,400000,71683175,0.0038
NFK-JOIN-L3,synth-1,65536,512,400000,35540904,0.0076
NFK-JOIN-L3,synth-1,65536,1024,400000,18223226,0.0148
NFK-JOIN-L3,synth-1,65536,2048,400000,9158381,0.0294
NFK-JOIN-L3,synth-1,65536,4096,400000,4840914,0.0556
NFK-JOIN-L3,synth-1,65536,8192,400000,2612099,0.103
NFK-JOIN-L3,synth-1,65536,16384,400000,1579077,0.1703
NFK-JOIN-L3,synth-1,65536,32768,400000,1048725,0.2564
NFK-JOIN-L3,synth-1,65536,65536,400000,840276,0.32
