algorithm,dataset,inputTuples,time
SHJ,synth-1,268928,55892
SHJ,synth-2,868928,885198
SHJ,tpch-1,1518928,348098
NLJ-L4,synth-1,268928,184062904
NLJ-L4,synth-2,868928,579632589
NLJ-L4,tpch-1,1518928,1032409412
FK-EPHI-L2,synth-1,268928,28020020
FK-EPHI-L2,synth-2,868928,45502618
FK-EPHI-L2,tpch-1,1518928,72800320
FK-MERG-L3,synth-1,268928,2730854
FK-MERG-L3,synth-2,868928,3785407
FK-MERG-L3,tpch-1,1518928,6893287
FK-MERG-L4,synth-1,268928,2532295
FK-MERG-L4,synth-2,868928,3817241
FK-MERG-L4,tpch-1,1518928,6970458
FK-SORT-L2,synth-1,268928,10312124367
FK-SORT-L2,synth-2,868928,40979229121
FK-SORT-L2,tpch-1,268928,10312124367
FK-SORT-L3,synth-1,268928,9965922
FK-SORT-L3,synth-2,868928,11414050
FK-SORT-L3,tpch-1,1518928,18903591
FK-SORT-L4,synth-1,268928,9040164
FK-SORT-L4,synth-2,868928,10343883
FK-SORT-L4,tpch-1,1518928,17087513
SHJ-L0,synth-1,268928,141825
SHJ-L0,synth-2,868928,265304
SHJ-L0,tpch-1,1518928,533662
SHJ-L1,synth-1,268928,70346
SHJ-L1,synth-2,868928,210470
SHJ-L1,tpch-1,1518928,362854
FK-MERG-L2,synth-1,268928,2608405847
FK-MERG-L2,synth-2,868928,8336717515
FK-MERG-L2,tpch-1,1518928,13989976702
SHJ-L2,synth-1,8192,1144083649
SHJ-L3,synth-1,8192,934702893
SHJ-L2,synth-2,5120,703692094
SHJ-L4,synth-1,8192,21711151692

SHJ-L2,tpch-1,10000,1233333333
SHJ-L3,synth-2,10000,933333333
SHJ-L3,tpch-1,10000,1233333333
SHJ-L4,synth-2,8192,20711151692
SHJ-L4,tpch-1,8192,17711151692

NFK-JOIN-L2,synth-1,268928,18029456107
NFK-JOIN-L2,synth-2,868928,96318876248
NFK-JOIN-L3,synth-1,3868928,257709108
NFK-JOIN-L3,synth-2,3868928,253116475
NFK-JOIN-L3,tpch-1,1868928,49500333

NFK-JOIN-L2,tpch-1,868928,99999999999
