algorithm,threads,totalInputTuples,window,time,throughput
FK-MERG-L4,1,16781312,8388608,72425261,0.0001
FK-MERG-L4,2,16781312,8388608,46474201,0.0001
FK-MERG-L4,4,16781312,8388608,29728088,0.0001
FK-MERG-L4,8,16781312,8388608,27361488,0.0001
FK-MERG-L4,16,16781312,8388608,19505575,0.0002
FK-MERG-L4,32,16781312,8388608,20561391,0.0002
FK-MERG-L4,64,16781312,8388608,21554555,0.0002
FK-MERG-L3,1,16781312,8388608,68830233,0.0001
FK-MERG-L3,2,16781312,8388608,43937200,0.0001
FK-MERG-L3,4,16781312,8388608,28901839,0.0001
FK-MERG-L3,8,16781312,8388608,27015790,0.0002
FK-MERG-L3,16,16781312,8388608,21516637,0.0002
FK-MERG-L3,32,16781312,8388608,20052079,0.0002
FK-MERG-L3,64,16781312,8388608,22382591,0.0002

FK-EPHI-L2,1,10000000,4194304,6802739286,0.0015
FK-EPHI-L2,2,10000000,4194304,4847969195,0.0021
FK-EPHI-L2,4,10000000,4194304,3463320308,0.0029
FK-EPHI-L2,8,10000000,4194304,3392447356,0.0029
FK-EPHI-L2,16,10000000,4194304,3472363065,0.0029
FK-EPHI-L2,32,10000000,4194304,3687757772,0.0027
FK-EPHI-L2,64,10000000,4194304,3832333914,0.0026

