algorithm,dataset,window,time,input-tuples
SHJ,synth-1,128,61596,400000
SHJ,synth-1,256,66003,400000
SHJ,synth-1,512,71170,400000
SHJ,synth-1,1024,74035,400000
SHJ,synth-1,2048,76009,400000
SHJ,synth-1,4096,75810,400000
SHJ,synth-1,8192,78973,400000
SHJ,synth-1,16384,86135,400000
SHJ,synth-1,32768,86083,400000
SHJ,synth-1,65536,80210,400000
SHJ,synth-2,128,57236,400000
SHJ,synth-2,256,63886,400000
SHJ,synth-2,512,67944,400000
SHJ,synth-2,1024,71048,400000
SHJ,synth-2,2048,72503,400000
SHJ,synth-2,4096,73614,400000
SHJ,synth-2,8192,77028,400000
SHJ,synth-2,16384,85574,400000
SHJ,synth-2,32768,86597,400000
SHJ,synth-2,65536,83232,400000
SHJ,tpch-1,128,233287,400000
SHJ,tpch-1,256,264221,400000
SHJ,tpch-1,512,144389,400000
SHJ,tpch-1,1024,150726,400000
SHJ,tpch-1,2048,299291,400000
SHJ,tpch-1,4096,157365,400000
SHJ,tpch-1,8192,336937,400000
SHJ,tpch-1,16384,251067,400000
SHJ,tpch-1,32768,397239,400000
SHJ,tpch-1,65536,271942,400000
FK-SORT-L4,synth-1,128,140152,400000
FK-SORT-L4,synth-1,256,141863,400000
FK-SORT-L4,synth-1,512,143016,400000
FK-SORT-L4,synth-1,1024,148487,400000
FK-SORT-L4,synth-1,2048,207531,400000
FK-SORT-L4,synth-1,4096,442344,400000
FK-SORT-L4,synth-1,8192,988094,400000
FK-SORT-L4,synth-1,16384,2110708,400000
FK-SORT-L4,synth-1,32768,4451541,400000
FK-SORT-L4,synth-1,65536,8464381,400000
FK-SORT-L4,synth-2,128,131226,400000
FK-SORT-L4,synth-2,256,130628,400000
FK-SORT-L4,synth-2,512,133176,400000
FK-SORT-L4,synth-2,1024,136982,400000
FK-SORT-L4,synth-2,2048,230339,400000
FK-SORT-L4,synth-2,4096,510353,400000
FK-SORT-L4,synth-2,8192,972858,400000
FK-SORT-L4,synth-2,16384,2139773,400000
FK-SORT-L4,synth-2,32768,4559489,400000
FK-SORT-L4,synth-2,65536,9246009,400000
FK-SORT-L4,tpch-1,128,451648,400000
FK-SORT-L4,tpch-1,256,457656,400000
FK-SORT-L4,tpch-1,512,467714,400000
FK-SORT-L4,tpch-1,1024,479799,400000
FK-SORT-L4,tpch-1,2048,560782,400000
FK-SORT-L4,tpch-1,4096,919071,400000
FK-SORT-L4,tpch-1,8192,1578749,400000
FK-SORT-L4,tpch-1,16384,3487138,400000
FK-SORT-L4,tpch-1,32768,7503551,400000
FK-SORT-L4,tpch-1,65536,15802918,400000
FK-SORT-L4,synth-1,131072,391728708,5737856
FK-SORT-L4,synth-1,262144,827467936,5475712
FK-SORT-L4,synth-1,524288,1786023343,4951424
FK-SORT-L4,synth-1,1048576,3246858197,3902848
NLJ-L4,synth-1,128,3115144,3999744
NLJ-L4,synth-1,256,6066595,3999488
NLJ-L4,synth-1,512,12272091,3998976
NLJ-L4,synth-1,1024,25135864,3997952
NLJ-L4,synth-1,2048,50039991,3995904
NLJ-L4,synth-1,4096,99766055,3991808
NLJ-L4,synth-1,8192,199760795,3983616
NLJ-L4,synth-1,16384,397709791,3967232
NLJ-L4,synth-1,32768,1018195383,3934464
NLJ-L4,synth-1,65536,2273405082,3868928
NLJ-L4,synth-1,131072,4925169891,3737856
NLJ-L4,synth-1,262144,9097187554,3475712
NLJ-L4,synth-1,524288,18140771994,2951424
NLJ-L4,synth-2,128,310513,400000
NLJ-L4,synth-2,256,604100,400000
NLJ-L4,synth-2,512,1222030,400000
NLJ-L4,synth-2,1024,2501701,400000
NLJ-L4,synth-2,2048,4966114,400000
NLJ-L4,synth-2,4096,9896417,400000
NLJ-L4,synth-2,8192,19397271,400000
NLJ-L4,synth-2,16384,37436899,400000
NLJ-L4,synth-2,32768,88574992,400000
NLJ-L4,synth-2,65536,202767642,400000
NLJ-L4,tpch-1,128,1280601,400000
NLJ-L4,tpch-1,256,2494467,400000
NLJ-L4,tpch-1,512,5044531,400000
NLJ-L4,tpch-1,1024,10349893,400000
NLJ-L4,tpch-1,2048,20617592,400000
NLJ-L4,tpch-1,4096,41078132,400000
NLJ-L4,tpch-1,8192,82107590,400000
NLJ-L4,tpch-1,16384,162704087,400000
NLJ-L4,tpch-1,32768,414429727,400000
NLJ-L4,tpch-1,65536,983386903,400000
FK-SORT-L3,synth-1,128,1561584,3999744
FK-SORT-L3,synth-1,256,1581728,3999488
FK-SORT-L3,synth-1,512,1627509,3998976
FK-SORT-L3,synth-1,1024,1721556,3997952
FK-SORT-L3,synth-1,2048,3001039,3995904
FK-SORT-L3,synth-1,4096,5840393,3991808
FK-SORT-L3,synth-1,8192,12332605,3983616
FK-SORT-L3,synth-1,16384,26632484,3967232
FK-SORT-L3,synth-1,32768,57619130,3934464
FK-SORT-L3,synth-1,65536,125346021,3868928
FK-SORT-L3,synth-1,131072,274792277,3737856
FK-SORT-L3,synth-1,262144,588372724,3475712
FK-SORT-L3,synth-1,524288,1200284192,2951424
FK-SORT-L3,synth-1,1048576,2010731832,1902848
FK-SORT-L3,synth-2,128,144941,400000
FK-SORT-L3,synth-2,256,148491,400000
FK-SORT-L3,synth-2,512,150388,400000
FK-SORT-L3,synth-2,1024,161692,400000
FK-SORT-L3,synth-2,2048,264512,400000
FK-SORT-L3,synth-2,4096,567342,400000
FK-SORT-L3,synth-2,8192,1087672,400000
FK-SORT-L3,synth-2,16384,2369770,400000
FK-SORT-L3,synth-2,32768,5054560,400000
FK-SORT-L3,synth-2,65536,10118606,400000
FK-SORT-L3,tpch-1,128,503067,400000
FK-SORT-L3,tpch-1,256,502620,400000
FK-SORT-L3,tpch-1,512,520978,400000
FK-SORT-L3,tpch-1,1024,542201,400000
FK-SORT-L3,tpch-1,2048,645815,400000
FK-SORT-L3,tpch-1,4096,1050305,400000
FK-SORT-L3,tpch-1,8192,1821382,400000
FK-SORT-L3,tpch-1,16384,3885640,400000
FK-SORT-L3,tpch-1,32768,8419714,400000
FK-SORT-L3,tpch-1,65536,17530344,400000
FK-SORT-L2,synth-1,128,7884783,400000
FK-SORT-L2,synth-1,256,17750982,400000
FK-SORT-L2,synth-1,512,41186716,400000
FK-SORT-L2,synth-1,1024,96910966,400000
FK-SORT-L2,synth-1,2048,219974311,400000
FK-SORT-L2,synth-1,4096,482056537,400000
FK-SORT-L2,synth-1,8192,1074177454,400000
FK-SORT-L2,synth-1,16384,2353107582,400000
FK-SORT-L2,synth-1,32768,4868608503,400000
FK-SORT-L2,synth-1,65536,9539889237,400000
FK-SORT-L2,synth-2,128,7885792,400000
FK-SORT-L2,synth-2,256,17746061,400000
FK-SORT-L2,synth-2,512,41182726,400000
FK-SORT-L2,synth-2,1024,96898402,400000
FK-SORT-L2,synth-2,2048,219923068,400000
FK-SORT-L2,synth-2,4096,481940540,400000
FK-SORT-L2,synth-2,8192,1074658063,400000
FK-SORT-L2,synth-2,16384,2341173783,400000
FK-SORT-L2,synth-2,32768,4868680804,400000
FK-SORT-L2,synth-2,65536,9401338722,400000
FK-SORT-L2,tpch-1,128,44890128,400000
FK-SORT-L2,tpch-1,256,100813064,400000
FK-SORT-L2,tpch-1,512,234155041,400000
FK-SORT-L2,tpch-1,1024,547824495,400000
FK-SORT-L2,tpch-1,2048,1256474578,400000
FK-SORT-L2,tpch-1,4096,2790392968,400000
FK-MERG-L2,synth-1,128,2559341,400000
FK-MERG-L2,synth-1,256,5519729,400000
FK-MERG-L2,synth-1,512,12162784,400000
FK-MERG-L2,synth-1,1024,26359499,400000
FK-MERG-L2,synth-1,2048,56375098,400000
FK-MERG-L2,synth-1,4096,119360775,400000
FK-MERG-L2,synth-1,8192,252158288,400000
FK-MERG-L2,synth-1,16384,568535981,400000
FK-MERG-L2,synth-1,32768,1222099999,400000
FK-EPHI-L2,synth-1,128,4518462,3999744
FK-EPHI-L2,synth-1,256,5855134,3999488
FK-EPHI-L2,synth-1,512,6001421,3998976
FK-EPHI-L2,synth-1,1024,7588645,3997952
FK-EPHI-L2,synth-1,2048,7528047,3995904
FK-EPHI-L2,synth-1,4096,18765162,3991808
FK-EPHI-L2,synth-1,8192,36579292,3983616
FK-EPHI-L2,synth-1,16384,91070654,3967232
FK-EPHI-L2,synth-1,32768,179156120,3934464
FK-EPHI-L2,synth-1,65536,393810421,3868928
FK-EPHI-L2,synth-1,131072,955448838,3737856
FK-EPHI-L2,synth-1,262144,1789894293,3475712
FK-EPHI-L2,synth-1,524288,3484101830,2951424
FK-EPHI-L2,synth-2,128,406601,400000
FK-EPHI-L2,synth-2,256,440813,400000
FK-EPHI-L2,synth-2,512,545171,400000
FK-EPHI-L2,synth-2,1024,728104,400000
FK-EPHI-L2,synth-2,2048,1865778,400000
FK-EPHI-L2,synth-2,4096,7871088,400000
FK-EPHI-L2,synth-2,8192,3956715,400000
FK-EPHI-L2,synth-2,16384,15431092,400000
FK-EPHI-L2,synth-2,32768,16194494,400000
FK-EPHI-L2,synth-2,65536,28632316,400000
FK-EPHI-L2,tpch-1,128,1733785,400000
FK-EPHI-L2,tpch-1,256,1780216,400000
FK-EPHI-L2,tpch-1,512,2003259,400000
FK-EPHI-L2,tpch-1,1024,2318979,400000
FK-EPHI-L2,tpch-1,2048,3291701,400000
FK-EPHI-L2,tpch-1,4096,5114755,400000
FK-EPHI-L2,tpch-1,8192,8981784,400000
SHJ-L2,synth-1,128,13714608,768
SHJ-L2,synth-1,256,29996355,1536
SHJ-L2,synth-1,512,82012748,3072
SHJ-L2,synth-1,1024,175773261,6144
SHJ-L2,synth-1,2048,469634020,12288
SHJ-L2,synth-1,4096,579634020,12288
SHJ-L2,synth-1,8192,689634020,12288
SHJ-L3,synth-1,128,10545462,768
SHJ-L3,synth-1,256,21202304,1536
SHJ-L3,synth-1,512,44506785,3072
SHJ-L3,synth-1,1024,181421748,6144
SHJ-L3,synth-1,2048,487642830,12288
SHJ-L3,synth-1,4096,787642830,12288
SHJ-L3,synth-1,8192,827642830,12288
SHJ-L4,synth-1,128,38148121,512
SHJ-L4,synth-1,256,163027308,1024
SHJ-L4,synth-1,512,632996308,2048
SHJ-L4,synth-1,1024,2926373091,4096
SHJ-L4,synth-1,2048,12087537405,8192
SHJ-L4,synth-1,4096,14316137036,8192
SHJ-L4,synth-1,8192,15237383632,8192
FK-MERG-L4,synth-1,128,79865,400000
FK-MERG-L4,synth-1,256,80913,400000
FK-MERG-L4,synth-1,512,82876,400000
FK-MERG-L4,synth-1,1024,87353,400000
FK-MERG-L4,synth-1,2048,124068,400000
FK-MERG-L4,synth-1,4096,203055,400000
FK-MERG-L4,synth-1,8192,385596,400000
FK-MERG-L4,synth-1,16384,762972,400000
FK-MERG-L4,synth-1,32768,1468342,400000
FK-MERG-L4,synth-1,65536,2584870,400000
FK-MERG-L4,synth-1,131072,123612301,5737856
FK-MERG-L4,synth-1,262144,285665809,5475712
FK-MERG-L4,synth-1,524288,495132853,4951424
FK-MERG-L4,synth-1,1048576,840663813,3902848
FK-MERG-L3,synth-1,128,797760,3999744
FK-MERG-L3,synth-1,256,807509,3999488
FK-MERG-L3,synth-1,512,828182,3998976
FK-MERG-L3,synth-1,1024,874339,3997952
FK-MERG-L3,synth-1,2048,1245751,3995904
FK-MERG-L3,synth-1,4096,2055987,3991808
FK-MERG-L3,synth-1,8192,3909098,3983616
FK-MERG-L3,synth-1,16384,8182197,3967232
FK-MERG-L3,synth-1,32768,16675117,3934464
FK-MERG-L3,synth-1,65536,36746741,3868928
FK-MERG-L3,synth-1,131072,81582359,3737856
FK-MERG-L3,synth-1,262144,171053154,3475712
FK-MERG-L3,synth-1,524288,294060161,2951424
FK-MERG-L3,synth-1,1048576,432402520,1902848
SHJ,synth-1,131072,1263678,5737856
SHJ,synth-1,262144,1575209,5475712
SHJ,synth-1,524288,2001161,4951424
SHJ,synth-1,1048576,1641184,3902848
NFK-JOIN-L3,synth-1,128,2285685,3999744
NFK-JOIN-L3,synth-1,256,2573120,3999488
NFK-JOIN-L3,synth-1,512,3210197,3998976
NFK-JOIN-L3,synth-1,1024,4475142,3997952
NFK-JOIN-L3,synth-1,2048,7115317,3995904
NFK-JOIN-L3,synth-1,4096,12760111,3991808
NFK-JOIN-L3,synth-1,8192,25653602,3983616
NFK-JOIN-L3,synth-1,16384,54373669,3967232
NFK-JOIN-L3,synth-1,32768,119151782,3934464
NFK-JOIN-L3,synth-1,65536,257324616,3868928
NFK-JOIN-L3,synth-1,131072,557928342,3737856
NFK-JOIN-L3,synth-1,262144,1222223331,3475712
NFK-JOIN-L2,synth-1,128,141723816,3999744
NFK-JOIN-L2,synth-1,256,346980155,3999488
NFK-JOIN-L2,synth-1,512,828345158,3998976
NFK-JOIN-L2,synth-1,1024,198865988,397952
NFK-JOIN-L2,synth-1,2048,452063762,395904
NFK-JOIN-L2,synth-1,4096,1001412703,391808
NFK-JOIN-L2,synth-1,8192,2228318421,383616
NFK-JOIN-L2,synth-1,16384,4818103403,367232
NFK-JOIN-L2,synth-1,32768,9943994698,334464
SHJ-L0,synth-1,128,788,2048
SHJ-L0,synth-1,256,870,2048
SHJ-L0,synth-1,512,609,2048
SHJ-L0,synth-1,1024,4075,8192
SHJ-L0,synth-1,2048,2465,8192
SHJ-L0,synth-1,4096,2912,8192
SHJ-L0,synth-1,8192,3207,8192
SHJ-L0,synth-1,16384,3780,8192
SHJ-L0,synth-1,32768,4830,8192
SHJ-L0,synth-1,65536,6615,8192
SHJ-L0,synth-1,131072,8507,8192
SHJ-L0,synth-1,262144,13900,8192
SHJ-L0,synth-1,524288,18384,8192
SHJ-L0,synth-1,1048576,30429,8192
SHJ-L1,synth-1,128,54,512
SHJ-L1,synth-1,256,109,1024
SHJ-L1,synth-1,512,233,2048
SHJ-L1,synth-1,1024,446,4096
SHJ-L1,synth-1,2048,944,8192
SHJ-L1,synth-1,4096,1059,8192
SHJ-L1,synth-1,8192,1520,8192
SHJ-L1,synth-1,16384,1775,8192
SHJ-L1,synth-1,32768,2350,8192
SHJ-L1,synth-1,65536,2691,8192
SHJ-L1,synth-1,131072,3887,8192
SHJ-L1,synth-1,262144,5548,8192
SHJ-L1,synth-1,524288,7625,8192
SHJ-L1,synth-1,1048576,14218,8192
